station,Ane,Bhadalwadi,Bukum,Dhumalwadi,Dorlewadi,Jejuri,Junnar,Karanje,Kolwan,Lonawala,Loni (Ambegaon),Mulshi,Narayangaon,Narayanpur,Nimbgaon-Ketke,Otur,Pangre Sailar Basti,Parne,Patas,Pimpri (Kh) Malvasti,Pune,Rajgurnagar (Khed),Sakurde,Shivpur Khed,Undavri Kade Pathar,Wehle,Khutbhav_Pz,Mahalunge Padval_Pz,Pabal New,Kharabwadi,Shikrapur,Ausari Khurd-1,Kamatwadi-Walha,Kamshet,Kasurdi-1,Kolawade,Ale-1,Belhe-1,Kamunde,Khadki,Wagholi-1,Zendewadi-1,Baramati,Khutbhav_1,Parawadi,Kauthe_1,Khadakwasala_3
2019-05-01 00:00:00,9.7,7.7,2.7,14.1,5.8,5.2,8.9,5.2,5.9,2.1,5.0,0.01,6.7,8.7,14.5,21.0,5.2,7.5,2.7,5.4,6.2,3.3,7.1,6.5,8.79,1.2,,,,9.89,7.9,3.1,15.0,0.7,,5.4,12.9,18.0,5.2,5.1,9.9,14.7,3.7,,,,
2019-08-01 00:00:00,5.1,1.3,1.02,5.9,3.5,3.5,4.7,3.6,1.09,0.95,2.6,0.01,0.01,4.9,8.6,16.2,3.0,6.1,1.56,3.3,3.4,2.1,1.5,1.1,8.79,0.4,,3.8,2.6,1.5,6.3,1.9,8.7,0.01,4.04,1.8,5.4,15.2,1.2,1.8,1.65,4.95,1.0,,,,
2019-11-01 00:00:00,1.05,0.55,1.02,4.1,3.41,0.01,1.0,1.0,1.14,1.15,1.6,0.78,5.73,0.01,3.68,14.53,3.3,2.1,1.32,2.9,3.2,1.05,1.2,2.7,6.21,0.3,9.1,4.98,1.6,1.31,2.1,1.82,4.8,0.02,,2.1,3.6,5.04,2.9,1.3,1.4,0.3,2.72,,,,
2020-01-01 00:00:00,1.43,3.76,1.07,5.03,4.2,0.58,6.92,2.23,2.0,1.41,1.27,0.01,7.28,1.33,8.39,12.1,4.55,4.02,1.47,4.0,5.3,2.35,2.15,2.81,2.27,0.53,9.42,4.11,1.53,2.76,4.43,5.82,5.68,0.2,6.25,2.07,7.16,8.94,10.93,2.67,0.96,4.37,4.7,,,,
2020-08-01 00:00:00,0.41,2.25,0.01,4.67,4.04,0.9,11.32,2.0,0.01,0.54,3.0,0.01,4.78,0.01,5.46,9.73,2.7,4.53,1.5,3.5,3.57,1.0,1.0,0.01,2.14,0.01,7.9,6.24,4.56,1.25,2.87,,6.2,0.01,1.7,2.11,2.31,3.54,,0.41,1.0,1.3,4.57,,,,
2020-11-01 00:00:00,0.58,5.45,0.2,,1.55,0.2,7.5,0.3,,1.41,3.05,0.55,6.1,7.72,1.8,11.8,3.3,1.85,1.95,3.9,1.0,0.42,1.25,0.64,2.0,0.45,2.7,,2.35,,0.9,3.5,4.8,7.2,0.4,1.45,4.6,6.2,3.4,1.4,1.65,1.35,0.85,,,,
2021-01-01 00:00:00,2.4,1.3,1.4,8.85,5.05,0.54,11.2,3.2,2.1,2.65,7.1,0.6,6.3,2.5,8.94,12.1,5.8,4.07,1.8,5.19,8.8,1.9,2.14,2.45,2.55,0.55,,,2.6,,3.6,6.1,9.2,0.01,6.1,2.65,10.1,9.4,10.7,2.2,0.5,7.54,6.85,,,,
2021-08-01 00:00:00,1.9,1.1,0.52,,4.26,0.4,7.2,3.76,,0.85,5.5,0.01,7.15,0.01,9.3,14.55,5.8,7.1,1.97,3.8,4.24,,6.35,,4.12,0.5,,,10.43,,5.6,3.17,6.89,0.01,7.3,1.2,15.7,15.7,5.42,1.61,1.8,3.3,,,,,
2021-11-01 00:00:00,2.1,,0.4,5.5,3.9,1.6,5.8,3.1,1.4,1.63,3.2,0.01,6.3,0.01,6.95,12.9,3.6,4.3,2.7,3.53,5.1,1.67,1.8,2.94,2.65,0.01,,,7.6,,3.95,3.98,7.0,0.01,5.3,0.9,6.4,9.6,5.3,,1.4,7.4,,,,,
2022-01-01 00:00:00,2.35,,0.9,4.63,4.95,2.8,3.4,2.6,1.6,1.95,3.51,0.01,6.6,0.7,8.8,13.35,3.9,4.48,1.46,3.02,3.8,0.8,1.44,3.45,3.25,0.35,,,6.9,4.13,4.6,4.77,5.5,0.5,5.6,1.8,8.35,13.18,5.25,,1.6,1.81,,,,,
